inFFT[129].re, 0x00002000,
inFFT[129].im, 0x00000000,
inFFT[130].re, 0x00003800,
inFFT[130].im, 0x00000000,
inFFT[131].re, 0x00003400,
inFFT[131].im, 0x00000000,
inFFT[132].re, 0x00001800,
inFFT[132].im, 0x00000000,
inFFT[133].re, 0xFFFFF000,
inFFT[133].im, 0x00000000,
inFFT[134].re, 0xFFFFC800,
inFFT[134].im, 0x00000000,
inFFT[135].re, 0xFFFFB000,
inFFT[135].im, 0x00000000,
inFFT[136].re, 0xFFFFB800,
inFFT[136].im, 0x00000000,
inFFT[137].re, 0xFFFFD000,
inFFT[137].im, 0x00000000,
inFFT[138].re, 0xFFFFF800,
inFFT[138].im, 0x00000000,
inFFT[139].re, 0x00002000,
inFFT[139].im, 0x00000000,
inFFT[140].re, 0x00003800,
inFFT[140].im, 0x00000000,
inFFT[141].re, 0x00003400,
inFFT[141].im, 0x00000000,
inFFT[142].re, 0x00001800,
inFFT[142].im, 0x00000000,
inFFT[143].re, 0xFFFFF000,
inFFT[143].im, 0x00000000,
inFFT[144].re, 0xFFFFC800,
inFFT[144].im, 0x00000000,
inFFT[145].re, 0xFFFFB000,
inFFT[145].im, 0x00000000,
inFFT[146].re, 0xFFFFB800,
inFFT[146].im, 0x00000000,
inFFT[147].re, 0xFFFFD000,
inFFT[147].im, 0x00000000,
inFFT[148].re, 0xFFFFF800,
inFFT[148].im, 0x00000000,
inFFT[149].re, 0x00002000,
inFFT[149].im, 0x00000000,
inFFT[150].re, 0x00003800,
inFFT[150].im, 0x00000000,
inFFT[151].re, 0x00003400,
inFFT[151].im, 0x00000000,
inFFT[152].re, 0x00001800,
inFFT[152].im, 0x00000000,
inFFT[153].re, 0xFFFFF000,
inFFT[153].im, 0x00000000,
inFFT[154].re, 0xFFFFC800,
inFFT[154].im, 0x00000000,
inFFT[155].re, 0xFFFFB000,
inFFT[155].im, 0x00000000,
inFFT[156].re, 0xFFFFB400,
inFFT[156].im, 0x00000000,
inFFT[157].re, 0xFFFFD000,
inFFT[157].im, 0x00000000,
inFFT[158].re, 0xFFFFF800,
inFFT[158].im, 0x00000000,
inFFT[159].re, 0x00002000,
inFFT[159].im, 0x00000000,
inFFT[160].re, 0x00003800,
inFFT[160].im, 0x00000000,
inFFT[161].re, 0x00003400,
inFFT[161].im, 0x00000000,
inFFT[162].re, 0x00001800,
inFFT[162].im, 0x00000000,
inFFT[163].re, 0xFFFFF000,
inFFT[163].im, 0x00000000,
inFFT[164].re, 0xFFFFC800,
inFFT[164].im, 0x00000000,
inFFT[165].re, 0xFFFFB000,
